init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
2340 3.23456071e+02 3.11358e-03 6.20666e+00 9.68101e-05 1.01074e+02
2350 3.24783515e+02 3.26966e-03 6.23651e+00 9.88508e-05 9.07893e+01
2360 3.26131143e+02 3.16204e-03 6.26802e+00 8.45598e-05 9.81345e+01
2370 3.27475812e+02 3.26809e-03 6.29986e+00 9.19103e-05 9.31986e+01
2380 3.28851639e+02 3.13964e-03 6.33145e+00 8.66572e-05 9.05161e+01
2390 3.30214484e+02 3.20380e-03 6.36366e+00 9.09950e-05 9.40191e+01
2400 3.31550904e+02 3.25180e-03 6.39466e+00 8.30319e-05 9.23625e+01
2410 3.32910368e+02 3.14272e-03 6.42575e+00 8.73338e-05 9.22590e+01
2420 3.34249706e+02 3.18221e-03 6.45545e+00 9.76316e-05 8.91049e+01
2430 3.35602874e+02 3.38924e-03 6.48686e+00 9.81370e-05 8.41646e+01
2440 3.36937832e+02 3.17849e-03 6.52074e+00 9.26200e-05 9.68021e+01
2450 3.38270389e+02 3.31070e-03 6.55319e+00 9.35900e-05 8.97656e+01
2460 3.39610484e+02 3.38612e-03 6.58599e+00 9.78805e-05 8.50017e+01
2470 3.40960144e+02 3.41706e-03 6.61964e+00 8.82681e-05 8.90111e+01
2480 3.42314190e+02 3.22222e-03 6.65237e+00 8.39890e-05 8.66726e+01
2490 3.43653350e+02 3.20089e-03 6.68558e+00 9.96292e-05 8.30026e+01
2500 3.44970577e+02 3.20002e-03 6.71824e+00 9.66258e-05 8.19431e+01
2510 3.46322447e+02 3.56638e-03 6.75286e+00 8.65380e-05 8.18913e+01
2520 3.47662528e+02 3.07005e-03 6.78612e+00 9.87408e-05 7.88107e+01
2530 3.49011499e+02 3.54277e-03 6.81984e+00 8.89072e-05 8.27277e+01
2540 3.50374682e+02 3.52139e-03 6.85397e+00 8.58113e-05 8.23768e+01
2550 3.51707050e+02 3.28882e-03 6.88848e+00 9.97742e-05 7.56190e+01
2560 3.52985373e+02 3.42697e-03 6.92171e+00 9.79448e-05 7.96780e+01
2570 3.54313630e+02 3.62958e-03 6.95740e+00 9.54786e-05 7.89426e+01
2580 3.55672807e+02 3.78424e-03 6.99420e+00 9.94265e-05 7.90698e+01
2590 3.57006918e+02 3.52683e-03 7.02974e+00 9.11002e-05 8.44668e+01
2600 3.58362052e+02 3.52068e-03 7.06567e+00 9.90377e-05 8.81841e+01
2610 3.59724112e+02 3.81930e-03 7.10096e+00 9.91288e-05 8.35845e+01
2620 3.61109669e+02 3.53061e-03 7.13849e+00 9.61059e-05 7.81077e+01
2630 3.62461682e+02 3.61271e-03 7.17412e+00 8.39651e-05 7.83053e+01
2640 3.63815140e+02 3.34256e-03 7.20942e+00 9.67643e-05 7.96618e+01
2650 3.65170808e+02 3.37450e-03 7.24070e+00 9.77663e-05 7.92360e+01
2660 3.66503784e+02 3.70375e-03 7.27642e+00 8.61658e-05 8.46796e+01
2670 3.67874424e+02 3.41356e-03 7.31179e+00 9.04041e-05 8.45031e+01
2680 3.69230009e+02 3.42694e-03 7.34610e+00 9.92789e-05 8.15168e+01
2690 3.70598271e+02 3.36082e-03 7.37941e+00 9.79067e-05 8.49646e+01
2700 3.71963733e+02 3.17311e-03 7.41218e+00 9.66165e-05 8.78895e+01
2710 3.73322768e+02 3.16792e-03 7.44322e+00 9.80165e-05 8.52531e+01
2720 3.74708660e+02 3.29759e-03 7.47611e+00 9.14738e-05 8.52574e+01
2730 3.76072397e+02 3.29541e-03 7.50853e+00 9.88542e-05 8.61956e+01
2740 3.77434087e+02 3.27721e-03 7.54201e+00 9.70082e-05 8.79369e+01
2750 3.78784819e+02 3.18355e-03 7.57283e+00 9.10154e-05 8.87731e+01
